index,num_edges,dim_a2,dim_a3,deg_f_1,deg_f_2,edge_set_binary,graph6
1,13,70,166,6,,0001111001111001010011001000,G?refo
2,14,74,170,6,,0010110001110001110001001111,GCRfH{
3,14,78,190,6,,0001111001111000110011010010,G?rFvg
4,15,82,193,6,,0001110001101000110011111110,G?rLzw
5,15,89,233,4,,0010011001111011110011010010,GCXfvg
6,15,90,229,6,,0001110001101001110011011110,G?rdzw
7,15,91,222,5,,0010111001110001110110001011,GCRvd[
8,15,93,252,5,,0010111001101010110011111000,GCZLvo
9,15,95,274,6,,0001110001101001110111011010,G?rtrw
10,15,95,282,6,,0010111001111010110011101000,GCZNfo
11,15,97,260,4,4,0010111001111001110011011000,GCRfvo
12,15,97,275,6,,0001110001110010110111001011,G?zV`{
13,16,93,222,5,,0010111001100001110011011111,GCRd|{
14,16,94,236,4,,0011100001011001111100011111,GCurZ[
15,16,95,233,6,,0001101001100010110111011111,G?zP|{
16,16,98,254,5,,0010111001101010110011111001,GCZLvs
17,16,100,260,4,4,0010111001111001110011011001,GCRfvs
18,16,101,257,6,,0011111001101000111100011110,GCvT^W
19,16,101,259,6,,0001111001110011010011011110,G?ze|w
20,16,101,284,6,,0010111001111010110011101001,GCZNfs
21,16,103,279,6,,0001101001101010110111011101,G?zP~s
22,16,103,302,6,,0011101001011001111101011100,GCur^o
23,16,104,278,6,,0001101001101010110111011110,G?zP~w
24,16,104,285,6,6,0001110001101010110111011110,G?zTzw
25,16,104,289,8,,0010111001110011010011011110,GCZe|w
26,16,106,280,4,,0010111001111001110011011010,GCRfvw
27,16,106,292,4,4,0010111001111010110011111000,GCZNvo
28,16,106,294,5,6,0011111001110001110110001011,GCrvd[
29,16,106,303,6,,0011110001011001111110001011,GCuvb[
30,16,106,308,6,,0001111001110010110111001011,G?zVd{
31,16,106,309,4,,0010111001111010110011101100,GCZNno
32,16,106,309,4,4,0011101001110001110110011011,GCrrt[
33,16,106,312,6,,0001111001110010110111011010,G?zVtw
34,16,108,314,4,,0010111001111011110011011000,GCZfvo
35,17,103,257,6,,0011111001111001110011000111,GCrfnk
36,17,103,259,6,,0001111001100010110111011111,G?zT|{
37,17,109,292,4,4,0010111001111010110011111001,GCZNvs
38,17,109,294,5,6,0011111001011001110011111001,GCqnvs
39,17,110,280,4,,0010111001111001110011011011,GCRfv{
40,17,110,283,6,,0001101001101010110111011111,G?zP~{
41,17,110,291,6,,0001110001101010110111011111,G?zTz{
42,17,110,293,8,,0011101001011001111100011111,GCur^[
43,17,111,314,4,,0010111001111011110011011001,GCZfvs
44,17,112,306,6,,0011101001011001111101011110,GCur^w
45,17,112,307,6,,0011101001011001111101011101,GCur^s
46,17,112,312,6,,0001111001110010110111011011,G?zVt{
47,17,113,309,4,,0010111001111010110011101101,GCZNns
48,17,113,309,4,4,0011111001011001110011110011,GCqnvk
49,17,114,320,4,,0011100010111010110111011110,GEjRzw
50,17,115,312,4,,0010111001111010110011111010,GCZNvw
51,17,115,315,4,,0010111001111010110011101110,GCZNnw
52,17,115,315,4,4,0011111001011001110011111010,GCqnvw
53,17,115,347,6,,0011111001011001111101011100,GCuv^o
54,17,116,286,4,,0010111001111001110011011110,GCRf~w
55,17,116,292,4,,0011011001111001110011011110,GCpf~w
56,17,116,316,6,,0001111001101010110111011110,G?zT~w
57,17,116,321,8,,0011111001111001110011001110,GCrfnw
58,17,116,328,8,,0011111001111001110110001011,GCrvf[
59,17,116,330,8,,0011111011111001110010001110,GErfnW
60,17,116,340,6,,0001111001111010110111001011,G?zVf{
61,17,116,340,6,,0001111001111010110111010011,G?zVvk
62,17,116,343,6,,0011111001011001111110001011,GCuvf[
63,17,116,345,6,,0011110001011001111101011110,GCuvZw
64,17,118,344,6,,0001111001111010110111011010,G?zVvw
65,17,118,349,6,,0011111001111001110101011100,GCrv^o
66,17,120,350,6,,0011111001111001110011111000,GCrnvo
67,18,116,286,4,,0010111001111001110011011111,GCRf~{
68,18,116,292,4,,0011011001111001110011011111,GCpf~{
69,18,117,320,4,,0011100010111010110111011111,GEjRz{
70,18,119,311,6,,0011101001011001111101011111,GCur^{
71,18,119,312,4,,0010111001111010110011111011,GCZNv{
72,18,119,315,4,,0010111001111010110011101111,GCZNn{
73,18,119,315,4,4,0011111001011001110011111011,GCqnv{
74,18,119,316,6,,0001111001101010110111011111,G?zT~{
75,18,119,321,8,,0011111001111001110011001111,GCrfn{
76,18,119,328,8,,0011111001111001110110001111,GCrvn[
77,18,119,330,8,,0011111001011001111100011111,GCuv^[
78,18,122,344,6,,0001111001111010110111011011,G?zVv{
79,18,122,347,6,,0011111001011001111101011101,GCuv^s
80,18,122,349,6,,0011111001011001111111001011,GCuvf{
81,18,122,349,6,,0011111001011001111111010011,GCuvvk
82,18,123,345,6,,0011110001011001111101011111,GCuvZ{
83,18,124,350,6,,0011111001111001110011111001,GCrnvs
84,18,124,353,6,,0011111001011001111111011010,GCuvvw
85,18,125,318,4,,0010111001111010110011111110,GCZN~w
86,18,125,321,4,4,0011111001011001110011111110,GCqn~w
87,18,125,349,6,,0011111001111001110110011011,GCrvv[
88,18,125,351,6,,0011111001011001111101011110,GCuv^w
89,18,126,349,6,,0011111001111001110101011110,GCrv^w
90,18,127,355,6,,0011111001111001110011111010,GCrnvw
91,18,128,383,7,,0011111001111001111011001110,GCvfnw
92,18,128,395,4,,0011111010111010110101111100,GEj^^o
93,18,129,347,6,6,0011111001111001110011011110,GCrf~w
94,18,129,348,6,,0001111001111010110111011110,G?zV~w
95,18,129,370,10,,0011011001111001110111011110,GCpv~w
96,18,129,399,4,,0011111011111001111010001110,GEvfnW
97,18,131,393,4,,0011111011111011110010001011,GEzff[
98,18,131,394,4,,0011111010111010110111111000,GEj^vo
99,18,131,398,4,,0011111001111011110011110010,GCznvg
100,19,125,318,4,,0010111001111010110011111111,GCZN~{
101,19,125,321,4,4,0011111001011001110011111111,GCqn~{
102,19,128,353,6,,0011111001011001111111011011,GCuvv{
103,19,129,347,6,6,0011111001111001110011011111,GCrf~{
104,19,129,348,6,,0001111001111010110111011111,G?zV~{
105,19,129,349,6,,0011111001111001110101011111,GCrv^{
106,19,129,351,6,,0011111001011001111101011111,GCuv^{
107,19,129,370,10,,0011011001111001110111011111,GCpv~{
108,19,132,355,6,,0011111001111001110011111011,GCrnv{
109,19,132,383,7,,0011111001111001111011001111,GCvfn{
110,19,132,399,4,,0101111011011011000111011111,GQyu}{
111,19,135,355,6,,0011111001111001110011111110,GCrn~w
112,19,135,357,6,,0011111001011001111111011110,GCuv~w
113,19,135,393,4,,0011111001111011110011111001,GCznvs
114,19,135,394,4,,0011111010111010110111111001,GEj^vs
115,19,135,395,4,,0011111010111010110101111110,GEj^^w
116,19,135,403,4,,0101111011111010110110101011,GQz^f[
117,19,136,395,4,,0011111010111010110101111101,GEj^^s
118,19,136,399,4,,0011111011111001111010001111,GEvfn[
119,19,138,398,4,,0011111001111011110011111010,GCznvw
120,19,138,399,4,,0011111010111010110111111010,GEj^vw
121,19,138,402,4,,0011111011111011110010101011,GEznf[
122,19,138,407,4,,0110111011111011110111001100,GUZvno
123,19,139,387,7,,0011111001111001111011011110,GCvf~w
124,19,139,391,4,,0011111011011001110111011110,GEqv~w
125,19,139,403,4,,0011111011111001111011001110,GEvfnw
126,19,140,398,4,,0011111001111011110011110011,GCznvk
127,19,143,398,4,,0011111011111001110011011110,GErf~w
128,20,135,355,6,,0011111001111001110011111111,GCrn~{
129,20,135,357,6,,0011111001011001111111011111,GCuv~{
130,20,139,387,7,,0011111001111001111011011111,GCvf~{
131,20,139,391,4,,0011111011011001110111011111,GEqv~{
132,20,139,395,4,,0011111010111010110101111111,GEj^^{
133,20,139,399,4,,0101110011111011010011111111,GQzmz{
134,20,142,402,4,,0101111011111011110011111001,GQznvs
135,20,142,403,4,,0101111011111011010011111110,GQzm~w
136,20,143,398,4,,0011111001111011110011111011,GCznv{
137,20,143,398,4,,0011111011111001110011011111,GErf~{
138,20,143,399,4,,0011111010111010110111111011,GEj^v{
139,20,143,403,4,,0011111011111001111011001111,GEvfn{
140,20,143,403,4,,0101111011111011010011111101,GQzm~s
141,20,145,407,4,,0101111011111011110011111010,GQznvw
142,20,146,398,4,,0011111001111011110011111110,GCzn~w
143,20,146,399,4,,0011111010111010110111111110,GEj^~w
144,20,147,407,4,,0101111011111011110011110011,GQznvk
145,20,150,407,4,,0011111011111001111011011110,GEvf~w
146,21,146,398,4,,0011111001111011110011111111,GCzn~{
147,21,146,399,4,,0011111010111010110111111111,GEj^~{
148,21,146,403,4,,0101111011111011010011111111,GQzm~{
149,21,150,407,4,,0011111011111001111011011111,GEvf~{
150,21,150,407,4,,0101111011111011110011111011,GQznv{
151,21,153,407,4,,0101111011111011110011111110,GQzn~w
152,22,153,407,4,,0101111011111011110011111111,GQzn~{
